Animal Name,Representative Name
Spiny lobster,Spiny Lobster
Porcupinefish,Porcupinefish
Porcupine fish,Porcupinefish
Paperfish,Paperfish
Damsel,Damsel
Various bream,Various Bream
Seabass,Seabass
Sea bass,Seabass
Spanish slipper lobster,Spanish Slipper Lobster
Black durgon,Black Durgon
Spotted drum,Spotted Drum
Elkhorn corals,Elkhorn Corals
Tube sponge,Tube Sponge
Chubs,Chubs
Yellowhead jawfish,Yellowhead Jawfish
Tablecloth,Tablecloth
Scorpora,Scorpora
Hamlet,Hamlet
Gold welts,Gold Welts
Conchs,Conchs
Conches,Conchs
Skorpion,Skorpion
Eals,Eals
Langustas,Langustas
Crabs - harbour,Crabs - Harbour
Edible,Edible
Velvet swimming,Velvet Swimming
Tompot blenny,Tompot Blenny
Jewel anemone,Jewel Anemone
Snakelocks anemone,Snakelocks Anemone
Fairy basslet,Fairy Basslet
Hard coral,Hard Coral
Speckled eagle ray,Speckled Eagle Ray
Ragged tooth sharks,Ragged Tooth Sharks
Snoekbaars,Snoekbaars
Paling,Paling
Kreeft,Kreeft
White tip sharks,White Tip Sharks
Snails,Snails
Barrel sponge,Barrel Sponge
Boxer shrimp,Boxer Shrimp
Mimic octopus,Mimic Octopus
Wonderpus,Wonderpus
Tree coral,Tree Coral
Banded snake eel,Banded Snake Eel
Freshwater goby,Freshwater Goby
Black bus,Black Bus
Seagrass...,Seagrass
Dotto,Dotto
Marble ray,Marble Ray
Peacock wrasse,Peacock Wrasse
Painted comber,Painted Comber
Tautog,Tautog
American eel,American Eel
Tripplefins,Tripplefins
Tooth,Tooth
Sea raven,Sea Raven
Serpent eel,Serpent Eel
Monk seals,Monk Seals
